Rank,SongName,Singer,Likepoint,Likepoint_gap
1,초록빛,폴킴,30719,28740
2,넘쳐흘러,엠씨더맥스,78684,76705
3,벌써 12시,청하,73280,71301
4,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",47457,45478
5,180도,벤,118577,116598
6,신용재,하은 (라코스테남),81092,79113
7,SOLO,제니 (JENNIE),159514,157535
8,아낙네,MINO (송민호),141263,139284
9,MILLIONS,WINNER,100892,98913
10,너를 만나,폴킴,159756,157777
11,Love Shot,EXO,120951,118972
12,YES or YES,TWICE (트와이스),115667,113688
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,234590,232611
14,너도 그냥 날 놓아주면 돼,윤건,40601,38622
15,내 생에 아름다운,케이윌,90636,88657
16,No Question,"매드클라운, 스텔라장 (Stella Jang)",9030,7051
17,Tempo,EXO,167752,165773
18,해야 (Sunrise),여자친구 (GFRIEND),27723,25744
19,가을 타나 봐,바이브,112674,110695
20,아름답고도 아프구나,비투비,121037,119058
21,IDOL,방탄소년단,214179,212200
22,첫눈에,헤이즈 (Heize),50307,48328
23,흔한 이별,허각,37439,35460
24,삐삐,아이유,204073,202094
25,%%(응응),Apink (에이핑크),24922,22943
26,고백,양다일,98224,96245
27,Way Back Home,숀 (SHAUN),249855,247876
28,이별하러 가는 길,임한별,71083,69104
29,"thank u, next",Ariana Grande,82704,80725
30,열애중,벤,148685,146706
31,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136216,134237
32,사계 (하루살이),엠씨더맥스,21330,19351
33,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120629,118650
34,봄바람,Wanna One (워너원),125432,123453
35,FAKE LOVE,방탄소년단,269039,267060
36,We all lie,하진,39673,37694
37,봄날,방탄소년단,377992,376013
38,지나오다,닐로 (Nilo),192306,190327
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79493,77514
40,너 없인 안 된다,비투비,150468,148489
41,알았다면,장덕철,21217,19238
42,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202985,201006
43,트라우마 (Trauma),EXO,66903,64924
44,습관 (Bad Habits),숀 (SHAUN),18217,16238
45,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,23164,21185
46,그리워하다,비투비,219118,217139
47,사이렌 (Siren),선미,110277,108298
48,Wait,EXO,67714,65735
49,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",107293,105314
50,Dance The Night Away,TWICE (트와이스),138807,136828
51,너는 어땠을까,노을,37924,35945
52,Gravity,EXO,95869,93890
53,비,폴킴,183681,181702
54,Bohemian Rhapsody (2011 Remaster),Queen,88898,86919
55,I`m Fine,방탄소년단,157623,155644
56,미안해,양다일,142490,140511
57,닿은 순간 (Ooh La La La),EXO,93234,91255
58,가을 안부,먼데이 키즈 (Monday Kiz),126370,124391
59,DNA,방탄소년단,335047,333068
60,시간이 들겠지 (Feat. Colde),로꼬,96742,94763
61,행복,오반,44013,42034
62,헤어지는 중,펀치 (Punch),98369,96390
63,24//7,EXO,91867,89888
64,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89871,87892
65,그때가 좋았어,케이시 (Kassy),17015,15036
66,우리 그만하자,로이킴,121876,119897
67,밤편지,아이유,304234,302255
68,Sign,EXO,90056,88077
69,이별길 (GOODBYE ROAD),iKON,84488,82509
70,사랑을 했다 (LOVE SCENARIO),iKON,279185,277206
71,여기 있을게 (Smile On My Face),EXO,87072,85093
72,Wind flower,마마무(Mamamoo),49357,47378
73,Damage,EXO,83613,81634
74,Euphoria,방탄소년단,151274,149295
75,가끔 (With You),EXO,84806,82827
76,그때 헤어지면 돼,로이킴,191798,189819
77,후폭풍 (Bad Dream),EXO,83526,81547
78,꽃 (Prod. AVIN),HAON (김하온),7954,5975
79,오아시스 (Oasis),EXO,86597,84618
80,Answer : Love Myself,방탄소년단,131212,129233
81,에너제틱 (Energetic),Wanna One (워너원),286715,284736
82,Universe,EXO,185824,183845
83,동화 (feat. 아이유),김동률,55127,53148
84,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191831,189852
85,Beautiful,Wanna One (워너원),235176,233197
86,BOOMERANG (부메랑),Wanna One (워너원),144151,142172
87,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9366,7387
88,켜줘 (Light),Wanna One (워너원),133411,131432
89,Anpanman,방탄소년단,149255,147276
90,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74873,72894
91,꿈처럼 내린,다비치,37985,36006
92,Epiphany,방탄소년단,119938,117959
93,그 남자를 떠나,god,14555,12576
94,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81528,79549
95,우주를 건너,정승환,1979,0
96,불꽃놀이 (Flowerbomb),Wanna One (워너원),72515,70536
97,술래,Wanna One (워너원),69652,67673
98,이 마음,펀치 (Punch),6227,4248
99,Trivia 轉 : Seesaw,방탄소년단,114371,112392
100,눈,폴킴,6572,4593
총계, , ,11228751,11030851
